zona,dia_semana,hora,velocidad_promedio,flujo_vehicular,nivel_congestion
Occidente,3,15,39.3,113,47.7
Occidente,3,16,36.9,605,69.3
Occidente,3,17,17.0,309,35.9
Occidente,3,18,27.1,295,21.1
Occidente,3,19,29.4,106,99.8
Occidente,3,20,46.8,679,29.5
Occidente,3,21,40.1,616,83.4
Occidente,3,22,47.4,199,75.3
Occidente,3,23,47.7,560,76.6
Occidente,4,0,48.5,529,8.9
Occidente,4,1,44.9,154,40.8
Occidente,4,2,44.1,146,34.9
Occidente,4,3,41.1,665,94.8
Occidente,4,4,40.7,768,52.3
Occidente,4,5,43.0,153,50.1
Occidente,4,6,47.9,594,5.0
Occidente,4,7,16.1,382,29.5
Occidente,4,8,18.5,296,80.3
Occidente,4,9,28.9,383,90.6
Occidente,4,10,33.2,433,22.6
Occidente,4,11,36.4,785,60.3
Occidente,4,12,33.6,553,12.3
Occidente,4,13,38.9,452,44.9
Occidente,4,14,35.9,537,7.2
Occidente,4,15,36.8,269,71.4
Occidente,4,16,38.2,662,55.3
Occidente,4,17,22.8,200,77.5
Occidente,4,18,19.1,447,28.4
Occidente,4,19,17.0,540,5.4
Occidente,4,20,47.5,322,0.0
Occidente,4,21,45.1,132,27.6
Occidente,4,22,47.1,143,83.9
Occidente,4,23,40.0,272,74.1
Occidente,5,0,53.2,171,36.0
Occidente,5,1,52.7,689,31.3
Occidente,5,2,57.9,724,43.4
Occidente,5,3,59.1,364,96.4
Occidente,5,4,50.9,580,49.4
Occidente,5,5,53.9,542,70.4
Occidente,5,6,50.0,216,71.3
Occidente,5,7,35.0,776,76.1
Occidente,5,8,39.3,591,29.8
Occidente,5,9,26.6,647,64.4
Occidente,5,10,40.5,352,95.7
Occidente,5,11,45.0,402,45.8
Occidente,5,12,42.1,358,37.0
Occidente,5,13,40.5,637,41.7
Occidente,5,14,48.2,695,21.2
Occidente,5,15,46.6,430,88.0
Occidente,5,16,42.2,574,60.8
Occidente,5,17,29.4,195,65.2
Occidente,5,18,36.1,320,64.5
Occidente,5,19,30.9,599,19.9
Occidente,5,20,58.9,301,36.8
Occidente,5,21,50.6,178,51.6
Occidente,5,22,52.7,684,1.5
Occidente,5,23,53.8,336,1.9
Occidente,6,0,51.2,389,49.3
Occidente,6,1,54.0,471,59.5
Occidente,6,2,50.1,424,96.3
Occidente,6,3,55.2,574,31.2
Occidente,6,4,57.7,641,52.1
Occidente,6,5,59.8,187,1.7
Occidente,6,6,57.7,665,12.0
Occidente,6,7,29.0,112,29.3
Occidente,6,8,36.6,462,34.8
Occidente,6,9,30.6,100,30.0
Occidente,6,10,46.5,781,84.7
Occidente,6,11,40.2,728,78.3
Occidente,6,12,47.8,420,39.8
Occidente,6,13,43.0,145,22.8
Occidente,6,14,42.5,438,74.7
Occidente,6,15,44.7,140,95.8
Occidente,6,16,49.4,649,99.1
Occidente,6,17,33.2,773,7.6
Occidente,6,18,30.5,257,19.6
Occidente,6,19,27.1,535,78.1
Occidente,6,20,55.8,202,81.1
Occidente,6,21,56.4,371,67.4
Occidente,6,22,52.6,341,91.7
Occidente,6,23,52.9,428,89.0
Industrial,0,0,47.1,143,14.7
Industrial,0,1,40.1,541,44.8
Industrial,0,2,41.3,770,53.0
Industrial,0,3,42.4,450,68.0
Industrial,0,4,40.8,292,80.7
Industrial,0,5,44.6,482,43.3
Industrial,0,6,40.4,216,44.6
Industrial,0,7,18.1,134,84.4
Industrial,0,8,29.7,655,85.4
Industrial,0,9,18.6,772,19.7
Industrial,0,10,39.5,796,71.2
Industrial,0,11,39.8,498,26.0
Industrial,0,12,34.4,515,7.3
Industrial,0,13,36.2,786,19.0
Industrial,0,14,37.9,735,94.4
Industrial,0,15,39.6,465,97.7
Industrial,0,16,37.6,213,47.7
Industrial,0,17,25.8,273,64.1
Industrial,0,18,25.0,213,56.5
Industrial,0,19,26.6,449,1.2
Industrial,0,20,40.1,349,92.6
Industrial,0,21,42.3,544,22.2
Industrial,0,22,43.2,693,72.9
Industrial,0,23,41.0,400,2.9
Industrial,1,0,44.8,563,11.9
Industrial,1,1,42.9,378,92.0
Industrial,1,2,49.9,131,76.1
Industrial,1,3,43.7,374,75.4
Industrial,1,4,49.2,765,57.7
Industrial,1,5,43.6,651,25.1
Industrial,1,6,45.6,351,65.7
Industrial,1,7,18.6,234,91.8
Industrial,1,8,16.5,454,22.1
Industrial,1,9,15.6,125,17.5
Industrial,1,10,38.7,297,95.0
Industrial,1,11,35.8,405,58.0
Industrial,1,12,35.2,631,28.2
Industrial,1,13,33.5,725,94.6
Industrial,1,14,38.9,393,78.0
Industrial,1,15,34.8,448,20.5
Industrial,1,16,35.9,230,33.2
Industrial,1,17,27.8,244,7.1
Industrial,1,18,16.0,758,50.7
Industrial,1,19,21.1,667,83.6
Industrial,1,20,43.3,585,77.1
Industrial,1,21,46.5,206,87.6
Industrial,1,22,45.4,297,42.5
Industrial,1,23,40.4,189,76.6
Industrial,2,0,40.0,391,52.3
Industrial,2,1,40.5,781,22.6
Industrial,2,2,43.0,312,23.0
Industrial,2,3,40.0,610,96.7
Industrial,2,4,42.2,564,74.2
Industrial,2,5,48.5,395,30.3
Industrial,2,6,43.3,598,81.7
Industrial,2,7,17.7,359,90.2
Industrial,2,8,27.1,789,75.4
Industrial,2,9,20.9,513,66.1
Industrial,2,10,30.8,481,70.9
Industrial,2,11,31.7,646,58.4
Industrial,2,12,39.5,129,26.5
Industrial,2,13,36.0,307,71.4
Industrial,2,14,37.6,171,51.4
Industrial,2,15,35.1,358,93.3
Industrial,2,16,38.3,588,71.4
Industrial,2,17,21.9,744,69.5
Industrial,2,18,25.9,703,27.4
Industrial,2,19,27.1,236,34.5
Industrial,2,20,43.4,784,85.7
Industrial,2,21,47.0,608,56.2
Industrial,2,22,49.5,447,38.1
Industrial,2,23,41.6,650,73.4
Industrial,3,0,43.8,117,83.9
Industrial,3,1,40.1,592,97.0
Industrial,3,2,44.4,264,70.5
Industrial,3,3,48.2,482,96.7
Industrial,3,4,40.5,453,71.8
Industrial,3,5,48.6,225,80.0
Industrial,3,6,45.5,377,13.2
Industrial,3,7,28.0,210,31.0
Industrial,3,8,19.4,709,67.3
Industrial,3,9,27.0,275,62.5
Industrial,3,10,35.7,682,90.6
Industrial,3,11,30.1,571,5.2
Industrial,3,12,35.5,301,30.7
Industrial,3,13,33.5,534,33.4
Industrial,3,14,37.3,383,6.8
Industrial,3,15,37.8,300,43.3
Industrial,3,16,36.9,332,5.7
Industrial,3,17,20.6,761,64.2
Industrial,3,18,25.1,542,19.9
Industrial,3,19,21.3,625,10.1
Industrial,3,20,42.8,293,43.2
Industrial,3,21,49.8,147,51.9
Industrial,3,22,41.8,779,11.3
Industrial,3,23,44.0,616,70.5
Industrial,4,0,44.2,342,39.8
Industrial,4,1,42.6,243,48.3
Industrial,4,2,42.7,301,65.7
Industrial,4,3,49.7,522,7.7
Industrial,4,4,40.8,765,29.7
Industrial,4,5,40.9,519,62.4
Industrial,4,6,46.5,287,1.5
Industrial,4,7,29.5,275,67.6
Industrial,4,8,25.6,527,31.3
Industrial,4,9,19.1,518,86.6
Industrial,4,10,39.5,174,15.5
Industrial,4,11,39.4,615,88.3
Industrial,4,12,32.0,511,70.1
Industrial,4,13,36.8,385,1.5
Industrial,4,14,35.8,277,45.0
Industrial,4,15,39.6,379,84.0
Industrial,4,16,31.9,570,97.7
Industrial,4,17,16.5,105,43.4
Industrial,4,18,16.4,623,91.5
Industrial,4,19,21.5,281,43.4
Industrial,4,20,47.2,106,58.9
Industrial,4,21,46.1,546,24.2
Industrial,4,22,47.1,163,19.9
Industrial,4,23,48.8,617,1.4
Industrial,5,0,52.5,250,27.1
Industrial,5,1,52.5,143,45.9
Industrial,5,2,57.3,524,67.3
Industrial,5,3,50.8,766,83.8
Industrial,5,4,58.1,676,93.3
Industrial,5,5,55.4,240,61.7
Industrial,5,6,57.4,616,52.1
Industrial,5,7,26.0,359,92.1
Industrial,5,8,33.8,476,26.9
Industrial,5,9,30.5,726,66.6
Industrial,5,10,47.9,418,63.0
Industrial,5,11,42.5,593,42.8
Industrial,5,12,44.4,554,93.6
Industrial,5,13,40.6,677,29.2
Industrial,5,14,44.4,115,30.1
Industrial,5,15,45.0,139,49.1
Industrial,5,16,49.3,173,76.4
Industrial,5,17,31.1,558,26.0
Industrial,5,18,27.4,212,7.0
Industrial,5,19,27.8,564,88.2
Industrial,5,20,58.1,579,11.0
Industrial,5,21,52.9,316,25.0
Industrial,5,22,55.2,474,35.7
Industrial,5,23,53.5,679,78.9
Industrial,6,0,53.1,739,95.3
Industrial,6,1,53.3,348,50.6
Industrial,6,2,59.4,713,10.3
Industrial,6,3,53.9,487,50.3
Industrial,6,4,51.9,701,67.7
Industrial,6,5,58.4,701,74.8
Industrial,6,6,54.4,527,16.0
Industrial,6,7,35.1,225,69.4
Industrial,6,8,28.4,182,16.5
Industrial,6,9,25.0,603,73.2
Industrial,6,10,45.1,212,8.4
Industrial,6,11,40.2,216,89.1
Industrial,6,12,42.4,347,10.5
Industrial,6,13,42.2,463,60.8
Industrial,6,14,42.5,140,39.1
Industrial,6,15,42.3,253,96.0
Industrial,6,16,46.2,489,41.6
Industrial,6,17,31.4,478,69.6
Industrial,6,18,35.5,220,50.0
Industrial,6,19,31.2,709,63.1
Industrial,6,20,55.3,180,60.6
Industrial,6,21,51.2,336,14.3
Industrial,6,22,56.9,244,39.2
Industrial,6,23,59.0,243,50.8
Comercial,0,0,44.2,112,79.3
Comercial,0,1,40.7,431,56.1
Comercial,0,2,46.3,582,25.3
Comercial,0,3,40.1,606,53.6
Comercial,0,4,48.4,674,84.3
Comercial,0,5,44.9,333,79.2
Comercial,0,6,44.5,228,85.5
Comercial,0,7,28.2,426,7.6
Comercial,0,8,20.8,662,90.2
Comercial,0,9,18.1,146,87.7
Comercial,0,10,33.9,479,96.8
Comercial,0,11,30.7,553,7.4
Comercial,0,12,33.8,662,43.3
Comercial,0,13,40.0,491,32.1
Comercial,0,14,32.2,345,37.3
Comercial,0,15,30.7,358,46.4
Comercial,0,16,37.2,559,70.9
Comercial,0,17,15.1,252,66.2
Comercial,0,18,22.3,103,80.4
Comercial,0,19,26.6,483,6.6
Comercial,0,20,47.7,508,78.2
Comercial,0,21,47.5,662,51.8
Comercial,0,22,41.4,569,62.0
Comercial,0,23,47.4,218,19.5
Comercial,1,0,48.9,624,90.8
Comercial,1,1,47.6,518,65.4
Comercial,1,2,48.9,505,63.2
Comercial,1,3,41.6,431,71.6
Comercial,1,4,42.7,241,31.4
Comercial,1,5,42.4,250,42.5
Comercial,1,6,49.1,454,18.8
Comercial,1,7,16.2,587,38.3
Comercial,1,8,27.3,561,79.6
Comercial,1,9,19.1,584,26.4
Comercial,1,10,39.4,545,32.5
Comercial,1,11,32.7,233,69.5
Comercial,1,12,32.2,516,26.5
Comercial,1,13,36.6,670,77.8
Comercial,1,14,37.6,231,8.8
Comercial,1,15,37.0,357,43.2
Comercial,1,16,30.3,281,3.4
Comercial,1,17,28.2,270,55.7
Comercial,1,18,15.6,566,32.3
Comercial,1,19,28.5,721,32.5
Comercial,1,20,49.0,797,82.5
Comercial,1,21,48.4,274,57.7
Comercial,1,22,40.7,166,99.9
Comercial,1,23,43.3,623,80.7
Comercial,2,0,48.6,798,24.1
Comercial,2,1,40.4,387,13.0
Comercial,2,2,40.2,352,78.4
Comercial,2,3,45.7,318,65.4
Comercial,2,4,42.3,110,76.4
Comercial,2,5,46.2,633,3.9
Comercial,2,6,48.4,533,56.3
Comercial,2,7,24.4,705,58.7
Comercial,2,8,23.7,793,75.7
Comercial,2,9,21.6,595,38.9
Comercial,2,10,32.3,517,92.8
Comercial,2,11,39.3,339,52.8
Comercial,2,12,32.1,796,98.1
Comercial,2,13,36.5,663,71.5
Comercial,2,14,35.9,137,45.5
Comercial,2,15,36.7,574,37.3
Comercial,2,16,39.4,217,50.0
Comercial,2,17,25.4,587,64.9
Comercial,2,18,19.1,209,63.6
Comercial,2,19,24.0,225,70.5
Comercial,2,20,44.6,567,83.7
Comercial,2,21,41.7,113,77.9
Comercial,2,22,46.1,589,83.8
Comercial,2,23,48.0,772,53.6
Comercial,3,0,44.9,381,15.4
Comercial,3,1,45.7,293,92.1
Comercial,3,2,45.8,514,35.5
Comercial,3,3,40.5,122,42.3
Comercial,3,4,40.8,524,88.1
Comercial,3,5,48.8,561,21.1
Comercial,3,6,48.6,720,19.7
Comercial,3,7,26.1,300,80.3
Comercial,3,8,30.0,121,89.7
Comercial,3,9,24.3,781,46.5
Comercial,3,10,38.5,143,33.5
Comercial,3,11,30.7,782,81.7
Comercial,3,12,38.5,756,8.5
Comercial,3,13,33.9,149,21.1
Comercial,3,14,32.3,428,26.9
Comercial,3,15,31.0,217,14.7
Comercial,3,16,39.7,631,96.8
Comercial,3,17,21.6,294,79.8
Comercial,3,18,19.9,309,23.3
Comercial,3,19,16.9,279,35.5
Comercial,3,20,46.7,143,21.1
Comercial,3,21,48.1,202,34.3
Comercial,3,22,48.6,208,8.3
Comercial,3,23,44.8,311,56.3
Comercial,4,0,48.0,196,58.1
Comercial,4,1,45.1,200,62.4
Comercial,4,2,42.7,441,8.2
Comercial,4,3,44.6,314,82.2
Comercial,4,4,40.6,393,45.8
Comercial,4,5,47.3,502,66.7
Comercial,4,6,47.8,703,31.4
Comercial,4,7,23.1,688,98.9
Comercial,4,8,28.3,360,19.5
Comercial,4,9,22.3,619,49.3
Comercial,4,10,34.8,686,36.1
Comercial,4,11,38.6,384,32.8
Comercial,4,12,34.5,633,12.6
Comercial,4,13,32.0,766,17.5
Comercial,4,14,35.7,505,49.0
Comercial,4,15,36.4,260,55.3
Comercial,4,16,33.7,563,14.1
Comercial,4,17,23.6,229,27.9
Comercial,4,18,18.3,227,82.6
Comercial,4,19,19.3,748,97.0
Comercial,4,20,45.7,200,37.5
Comercial,4,21,48.0,357,8.7
Comercial,4,22,45.6,691,79.6
Comercial,4,23,41.8,570,22.1
Comercial,5,0,52.2,711,25.0
Comercial,5,1,52.6,100,87.1
Comercial,5,2,57.9,539,75.0
Comercial,5,3,51.5,420,35.1
Comercial,5,4,50.9,440,92.1
Comercial,5,5,50.4,304,20.8
Comercial,5,6,52.4,735,46.8
Comercial,5,7,32.0,632,15.4
Comercial,5,8,32.3,400,59.7
Comercial,5,9,40.0,638,39.8
Comercial,5,10,48.3,219,3.0
Comercial,5,11,42.0,338,51.1
Comercial,5,12,46.2,737,51.0
Comercial,5,13,45.0,135,3.5
Comercial,5,14,45.5,406,83.9
Comercial,5,15,41.6,117,44.9
Comercial,5,16,42.4,134,72.5
Comercial,5,17,26.7,525,28.1
Comercial,5,18,27.6,365,80.1
Comercial,5,19,30.9,625,12.5
Comercial,5,20,57.7,265,67.7
Comercial,5,21,55.7,750,38.7
Comercial,5,22,50.7,113,82.7
Comercial,5,23,55.2,642,23.4
Comercial,6,0,53.5,121,96.1
Comercial,6,1,56.7,753,26.5
Comercial,6,2,56.1,574,31.8
Comercial,6,3,58.5,763,88.5
Comercial,6,4,57.4,294,28.2
Comercial,6,5,59.6,107,71.6
Comercial,6,6,57.1,535,99.0
Comercial,6,7,29.7,337,7.9
Comercial,6,8,31.6,282,34.3
Comercial,6,9,37.5,754,18.6
Comercial,6,10,43.7,750,6.2
Comercial,6,11,40.9,213,59.5
Comercial,6,12,41.5,777,44.7
Comercial,6,13,45.0,272,47.1
Comercial,6,14,46.6,625,75.4
Comercial,6,15,45.8,733,81.7
Comercial,6,16,47.6,138,0.7
Comercial,6,17,28.2,564,41.1
Comercial,6,18,31.0,719,89.6
Comercial,6,19,38.6,319,69.1
Comercial,6,20,52.7,233,18.5
Comercial,6,21,53.4,400,83.1
Comercial,6,22,51.2,614,53.1
Comercial,6,23,52.9,444,30.0
